symbol,skip_at,distance_pct_at_skip,price_at_skip,ema20_at_skip,check_price_24h,hours_to_check,delta_24h_pct,peak_24h_pct,verdict,notes
API3/USDT,2026-04-25 06:25:08,33.25,,,,0.0,,,pre-47a (no baseline),no_baseline
AXS/USDT,2026-04-25 06:25:08,26.18,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 06:55:31,47.35,0.02485,0.016865,0.01244,35.8,-49.94,-24.95,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 06:55:31,22.84,1.413,1.150296,1.398,35.8,-1.06,+15.57,avoided small loss,
API3/USDT,2026-04-25 06:55:31,35.88,0.4731,0.348183,0.3409,35.8,-27.94,-16.32,AVOIDED big loss (-10%+),
APE/USDT,2026-04-25 06:55:31,36.74,0.1889,0.138142,0.1488,35.8,-21.23,-9.63,AVOIDED big loss (-10%+),
D/USDT,2026-04-25 06:55:32,20.88,0.0126,0.010424,0.01569,35.8,+24.52,+23.33,BLOCKED big winner (+10%+),
KAT/USDT,2026-04-25 06:55:32,47.35,0.02485,0.016865,0.01244,35.8,-49.94,-24.95,AVOIDED big loss (-10%+),
API3/USDT,2026-04-25 06:55:32,35.88,0.4731,0.348183,0.3409,35.8,-27.94,-16.32,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 06:55:32,22.84,1.413,1.150296,1.399,35.8,-0.99,+15.57,avoided small loss,
KAT/USDT,2026-04-25 07:08:56,46.07,0.0246,0.016841,0.01244,35.6,-49.43,-24.19,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 07:08:57,21.38,1.395,1.149248,1.399,35.6,+0.29,+17.06,blocked small gain,
API3/USDT,2026-04-25 07:08:57,35.09,0.47,0.347916,0.3409,35.6,-27.47,-15.77,AVOIDED big loss (-10%+),
APE/USDT,2026-04-25 07:08:57,36.86,0.1891,0.138171,0.1488,35.6,-21.31,-9.73,AVOIDED big loss (-10%+),
D/USDT,2026-04-25 07:08:58,22.73,0.0128,0.010429,0.01571,35.6,+22.73,+21.41,BLOCKED big winner (+10%+),
KAT/USDT,2026-04-25 07:08:58,46.07,0.0246,0.016841,0.01244,35.6,-49.43,-24.19,AVOIDED big loss (-10%+),
API3/USDT,2026-04-25 07:08:58,35.09,0.47,0.347916,0.3409,35.6,-27.47,-15.77,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 07:08:58,21.38,1.395,1.149248,1.399,35.6,+0.29,+17.06,blocked small gain,
KAT/USDT,2026-04-25 08:09:27,41.15,0.02477,0.017549,0.01244,34.6,-49.78,-24.71,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 08:09:27,22.29,1.447,1.183205,1.399,34.6,-3.32,+12.85,avoided small loss,
KAT/USDT,2026-04-25 08:09:27,41.15,0.02477,0.017549,0.01244,34.6,-49.78,-24.71,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 08:09:27,22.29,1.447,1.183205,1.399,34.6,-3.32,+12.85,avoided small loss,
AXS/USDT,2026-04-25 09:09:56,33.38,1.598,1.198063,1.399,33.5,-12.45,+2.19,AVOIDED big loss (-10%+),
KAT/USDT,2026-04-25 09:09:57,35.17,0.02356,0.01743,0.01244,33.5,-47.20,-20.84,AVOIDED big loss (-10%+),
KAT/USDT,2026-04-25 09:09:57,35.17,0.02356,0.01743,0.01244,33.5,-47.20,-20.84,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 09:09:57,33.38,1.598,1.198063,1.4,33.5,-12.39,+2.19,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 10:10:27,44.09,1.746,1.211777,1.4,32.5,-19.82,-6.47,AVOIDED big loss (-10%+),
KAT/USDT,2026-04-25 10:10:27,20.68,0.02071,0.017161,0.01244,32.5,-39.93,-9.95,AVOIDED big loss (-10%+),
